district,address,type,cadastral_number,area,status,document,obj_id
Центральный,"191186, г.Санкт-Петербург, Большая Морская улица, д. 13, литера А",помещение,78:31:1181:2005:4:9,237.0,включен,237-р от 26.12.2008,300013837
Центральный,"191186, г.Санкт-Петербург, Большая Морская улица, д. 13, литера А",помещение,78:1181:0:4:14,96.1,включен,237-р от 26.12.2008,300013842
Центральный,"191011, г.Санкт-Петербург, Итальянская улица, д. 29, литера А",помещение,78:31:0001285:3150,20.6,включен,237-р от 26.12.2008,300013868
Центральный,"191025, г.Санкт-Петербург, улица Марата, д. 8, литера А",помещение,78:31:0001131:3908,182.5,включен,1272-рк от 26.12.2019,300014262
Центральный,"193015, г.Санкт-Петербург, Суворовский проспект, д. 59, литера Ж",помещение,78:31:1120:0:34:1,36.9,включен,237-р от 26.12.2008,300015401
Центральный,"193036, г.Санкт-Петербург, переулок Ульяны Громовой, д. 8, литера Б",помещение,78:1043:2004:4:2,28.8,исключен,213-р от 28.11.2011,300018309
Центральный,"191119, г.Санкт-Петербург, улица Константина Заслонова, д. 20, литера А",помещение,78:31:0001706:3206,120.4,включен,998-рк от 17.10.2019,300002768
Центральный,"191025, г.Санкт-Петербург, Невский проспект, д. 53, литера Э",помещение,78:1220:0:16:4,54.4,включен,1054-рк от 31.10.2019,300018603
Невский,"192177, г.Санкт-Петербург, Скачков переулок, д. 3, литера А",помещение,78:12:7210:1:30:9,11.7,включен,237-р от 26.12.2008,1300007484
Центральный,"191123, г.Санкт-Петербург, улица Радищева, д. 8, литера А",помещение,78:31:0001128:2155,86.5,включен,1272-рк от 26.12.2019,300013234
Центральный,"191187, г.Санкт-Петербург, Литейный проспект, д. 11, литера А",помещение,78:1194:0:8:3,322.5,включен,237-р от 26.12.2008,300012035
Красногвардейский,"195176, г.Санкт-Петербург, шоссе Революции, д. 15, литера А",часть помещения,78:11:0006057:4231,194.4,включен,237-р от 26.12.2008,700026523
Центральный,"191002, г.Санкт-Петербург, Загородный проспект, д. 22, литера А",помещение,78:31:1625:0:55:8,92.6,включен,26-р от 23.03.2009,300132355
Выборгский,"194356, г.Санкт-Петербург, улица Есенина, д. 22, к. 1, литера А",помещение,78:36:5517:0:17:4,100.0,включен,237-р от 26.12.2008,200023618
